surface,embedding
llc,0.114470 0.076118 -0.431262 -0.018505 -0.686137 -1.088283 0.062977 -0.362794 -0.547388 -0.294902 -0.108330 -0.149665 -0.090606 -0.387779 -0.702464 -0.045893
‘’,-0.676355 0.880509 0.350774 0.208268 -0.565307 1.173242 -0.952325 0.425464 -0.803729 -1.080765 -1.271322 -0.473839 -0.546129 -0.471975 1.377677 0.493832
planned,0.962078 0.007134 -0.018891 0.370975 0.103938 -0.648036 0.614472 0.005008 -0.267002 0.103682 0.093353 -0.022566 0.071600 -0.465845 0.986699 -0.271517
1999,-0.455410 -0.062107 -0.029324 -0.553972 -0.935093 -0.663944 0.748280 0.584822 -0.039393 -0.148545 -0.082507 0.366164 0.369582 -0.812258 -0.822915 0.186417
funding,0.219724 -0.329643 0.353742 0.638500 -0.151919 -0.684486 0.431441 -0.161013 -0.364158 -0.090341 0.446089 -0.225675 -0.138465 -0.626250 0.087763 0.207933
pipeline,0.480137 -0.393155 -0.325048 0.668246 -0.459772 -0.080837 0.172335 -0.239582 -0.621712 0.113252 0.221544 -0.103590 -0.017797 -0.516125 -0.139382 0.047593
paulo,-0.834839 0.608723 -0.041240 0.872711 -0.656112 -0.534049 -0.350540 0.148871 -0.301330 -0.260745 -0.737352 -0.842162 -0.063703 -0.597642 -0.199380 -0.056610
created,0.967937 0.099629 0.997587 0.577014 0.220314 -1.073021 0.217637 0.190698 -0.302602 0.037197 -0.139478 -0.521008 0.200852 -0.457329 1.466270 -0.170152
chicago,-0.424861 -0.325637 0.300090 -0.312652 -0.762513 -1.155226 -0.069136 0.289502 -0.268063 -0.298806 -0.218508 -0.789004 -0.257173 -0.366330 -0.872233 0.304377
inc.,-0.044702 0.127837 -0.420887 0.278702 -0.498755 -0.504447 -0.347149 -0.256055 -0.688221 -0.379630 -0.423526 -0.526524 -0.263302 -0.582710 -0.438050 0.059529
club,-0.125960 -0.383005 0.002694 -0.397262 -0.763814 -0.581594 0.181584 0.370829 -0.364925 -0.079622 0.247002 -0.392749 -0.347561 -0.627336 -0.514606 0.081094
possibly,-0.213547 0.950748 0.369250 0.001407 0.501821 0.146854 -0.203774 0.445774 -1.193728 -0.001516 0.492165 1.158536 -1.194884 0.530428 -0.218338 -0.083125
brown,-0.262561 -0.318265 0.225932 -0.423753 -0.527835 -0.423619 -0.199063 0.867194 0.025574 -0.139577 -0.274130 -0.555469 -0.246974 -1.005586 -0.397994 -0.088695
bite,0.646293 -0.457701 -0.311600 -0.033669 -0.515307 -0.268698 0.742899 0.815723 -0.048267 0.332048 0.275745 -0.337130 -0.332903 0.140572 1.317306 -0.049364
robinson,-0.047836 0.820811 -0.064701 -0.122473 -0.866867 0.465952 0.050032 -0.007994 -0.282525 -0.462438 -0.619730 -0.932158 -0.517662 -0.184774 -1.048226 0.124088
server,0.148356 -0.299167 -0.265001 0.347086 -0.457298 0.386156 0.509896 0.353082 -0.005224 -0.226629 0.175813 -0.411392 -0.733137 -0.784672 -0.556056 0.149515
don,0.224504 0.605323 -0.782185 0.169372 -0.813017 -0.370634 0.101629 -0.828266 -0.222196 -0.104926 0.057288 -0.101134 -0.400254 -0.113431 -0.826447 -0.156506
targets,-0.450573 -0.871635 0.425800 0.577984 -0.335271 -0.633993 0.620336 0.021339 -0.035087 -0.003201 0.147917 -0.414149 -0.189198 -0.629869 -0.423722 0.037981
crime,-0.289009 -0.601142 0.043828 0.680355 -0.640235 -0.073457 0.444772 0.125459 -0.266643 -0.293320 0.229723 -0.066166 -0.284020 -0.493772 -0.530408 0.044021
300,-0.016821 0.643745 -0.791828 0.073695 -0.770036 -0.556144 0.589554 0.080966 -0.426164 -0.265944 -0.423146 0.932435 0.609309 -0.997614 -0.482982 0.237704
fortier,0.084287 -0.090830 -0.009331 -0.622668 -0.560747 0.600498 0.474941 -0.165613 0.193770 -0.519630 -0.008038 -0.543862 -0.925033 -0.086469 -1.296641 0.219629
uvb,0.035451 -0.332259 -0.080209 0.020706 -0.677115 -0.132811 0.235158 -0.202263 -0.243479 -0.040279 0.167049 -0.015774 -0.493209 -0.548126 -0.515108 -0.186795
execute,0.858390 0.592101 0.240232 0.006086 -0.363522 -0.792418 0.789377 0.509644 -0.370466 -0.062669 0.344021 -0.584507 0.273467 0.619095 1.605753 -0.318702
40,0.055025 -0.291675 -0.375641 -0.107325 -0.283873 -0.767686 0.449561 0.222427 -0.660315 0.098225 -0.340376 0.571901 0.543632 -0.974183 -0.607412 0.183946
funded,0.856467 -0.509145 -0.025252 2.048724 0.168811 -0.171662 0.192925 -0.082584 0.011476 -0.205035 -0.163196 -0.167905 -0.639719 -0.327266 0.808528 0.011800
korea,-0.347898 -0.239425 0.336495 0.146316 -0.569180 -0.034241 0.100936 0.195446 -0.243978 -0.290460 -0.048715 -0.654318 -0.250641 -0.554460 -0.818328 -0.048669
75,-0.176493 0.189734 -0.602210 0.326406 -0.434386 -0.373269 0.637701 0.259291 -0.380354 -0.157036 -0.615693 0.538926 0.202973 -0.976350 -0.637684 0.471307
internal,1.024007 -0.291982 -0.682404 0.347147 -0.133242 -0.306081 0.211041 0.239577 -0.579368 0.364862 -0.550349 0.622777 0.390372 -1.106343 -0.176499 0.334433
economy,-0.074523 -0.296760 -0.031405 0.734981 -0.364529 0.640352 0.652419 0.095548 -0.008385 -0.436946 0.294297 -0.375615 -0.383582 -0.641420 -0.096846 0.017968
appropriate,1.237448 -0.682737 -0.573621 0.061200 0.088345 -0.083738 0.311762 0.588547 -0.458697 0.606940 -0.379208 0.412076 0.187714 -1.135323 -0.079308 0.096071
private,0.692155 -0.392789 -0.736711 0.320484 -0.168846 -0.159143 0.526485 0.073846 -0.565810 0.334262 -0.357615 0.422196 0.552133 -0.840815 0.136838 0.035299
engine,0.067021 -0.587853 -0.032560 0.113214 -0.414791 0.988317 0.494091 0.315024 -0.056810 -0.414968 0.165126 -0.563842 -0.648454 -0.640938 -0.837379 -0.104913
driver,-0.321913 -0.510846 0.238451 0.417848 -0.727261 -0.242927 0.385319 -0.034294 -0.110439 0.025495 0.169361 -0.314743 -0.400077 -0.459621 -1.051655 -0.146290
cell,-0.547506 0.608355 -0.639135 -0.363308 -0.640608 -1.083568 0.292890 0.066415 -0.353945 -0.118859 0.022435 0.586277 -0.232457 -0.426872 -0.577537 -0.482946
morality,-0.695597 -0.004643 0.232008 -0.165293 -0.569860 -1.245914 0.310191 0.346997 -0.078409 -0.080960 0.073599 0.027690 -0.466675 -0.568523 -0.927283 0.133197
cent,-0.923330 -0.568876 0.202975 1.643285 -0.196208 -0.412786 0.031049 -0.381157 -0.082935 -0.575080 0.362237 0.340156 0.212594 0.058236 -0.849068 -0.527467
links,0.143391 -0.708208 0.076759 1.240319 -0.300885 0.101648 0.327958 -0.124312 -0.253131 0.135731 0.224318 -0.132486 -0.243261 -0.846643 -0.034932 -0.093824
baghdad,-0.506672 0.100775 0.332609 0.492056 -0.788212 0.085917 0.266997 0.245491 -0.258348 -0.468189 -0.014055 -0.629177 0.181947 -0.412122 -0.235011 0.115553
positions,-0.390519 -0.556446 0.029345 0.055050 -0.695832 0.080376 0.351072 0.348526 -0.172040 0.123662 0.377933 -0.265664 -0.516523 -0.312642 -0.332558 -0.221144
tool,0.068270 -1.107769 0.361835 0.733709 -0.286514 0.064300 0.426056 -0.332886 -0.362390 -0.057618 0.144693 -0.370466 -0.319150 -0.742864 -0.206387 -0.100046
cheese,0.138175 0.298251 -0.312350 0.589999 -0.437004 0.397711 0.391429 0.097045 -0.157556 -0.159224 0.209113 -0.254334 -0.500825 -0.571462 -0.460599 0.110015
eye,-0.288072 -0.514232 -0.281041 1.550202 -0.314912 -0.334019 0.429190 -0.453123 -0.341791 -0.066324 0.348127 -0.341139 -0.360520 -0.634564 -0.368460 -0.251716
slow,0.957393 0.203572 -0.027052 -0.195543 -0.043719 -0.403515 0.344575 0.871248 -0.075648 0.511095 -0.078578 -0.083271 -0.102521 -0.915409 0.280925 -0.046969
students,0.097269 -0.258651 0.120231 -0.257708 -0.677747 -0.108305 0.542525 0.320590 0.039007 0.106251 0.147010 -0.465747 -0.327292 -0.462444 -1.023988 0.035352
fan,-0.333438 -0.497924 0.193160 0.671308 -0.366967 -0.377334 0.167972 -0.058248 -0.303420 -0.301858 0.048013 -0.116022 -0.660795 -0.107114 -0.905807 -0.116309
receiving,1.328273 0.320431 0.289631 -0.155953 -0.019736 -0.831310 0.794252 0.357739 -0.246759 0.292422 0.783098 0.207009 0.374369 -0.190401 2.166714 -0.433049
arrest,-0.089385 -0.931954 0.218755 1.467771 -0.284398 -0.359815 0.274061 -0.089848 -0.415707 -0.304957 0.337763 -0.259965 -0.252144 -0.754459 -0.159941 0.230820
fee,-0.221241 -0.637523 0.038857 0.040748 -0.505045 -0.788887 0.533242 0.010359 0.076957 0.127272 0.077693 -0.380051 -0.451449 -0.597956 -0.797513 -0.053021
prove,0.983837 -0.827234 0.882911 0.410849 -0.237018 0.111386 0.329674 0.815961 0.339458 0.262926 -0.110803 -0.650585 0.148350 -0.206108 1.130646 -0.587135
interview,-0.072022 -0.375967 -0.167620 1.009688 -0.463898 -0.040473 0.476137 0.033625 -0.233907 0.042547 0.388892 -0.418513 -0.478073 -0.508853 -0.286420 0.043828
de,-0.119602 1.090709 -0.498211 0.135915 -0.876010 -0.536169 -0.331878 -0.577905 -0.450216 -0.299836 -0.391941 -0.830701 -0.181638 -0.095762 -0.258829 -0.577251
sites,0.016166 -0.821609 0.098357 0.097864 -0.553731 -0.314619 0.460872 0.020770 -0.024152 -0.056133 0.262327 -0.254616 -0.281130 -0.660415 -0.497314 -0.338258
japanese,-0.504379 -0.265270 0.220276 -0.069905 -0.246864 -0.047378 0.430811 0.374728 -0.781601 0.180587 -0.373968 1.026516 -0.136740 -0.170640 -0.520241 -0.048505
wow,-0.363747 1.331438 -0.087337 -0.604670 -0.617348 -0.830121 -0.094930 1.232228 0.404626 -0.084820 -0.889630 -0.127710 -0.679344 -1.259045 0.107466 0.913746
image,-0.325694 -0.616425 0.272955 0.425804 -0.541671 -0.200438 0.467012 -0.035123 -0.308353 -0.092560 0.277157 -0.069391 -0.401127 -0.626029 -0.648636 -0.129139
watching,1.504004 0.539722 -0.143431 0.378056 -0.104590 -0.647695 0.775974 0.359486 0.204478 0.207915 0.158973 -0.214652 -0.018788 0.208882 1.394135 -0.371017
ga,-0.101440 -0.017012 -0.227937 0.253905 -0.621822 -1.033489 -0.080376 -0.022798 -0.427738 -0.344047 0.234698 -0.333928 -0.160440 -0.621878 -0.195535 -0.153461
counter,-0.489450 -0.280315 -0.009616 0.182351 -0.589432 0.008937 0.176102 0.276691 -0.692634 -0.220817 0.070016 0.014465 -0.086165 -0.090141 0.124679 -0.160004
decade,-0.219591 -0.909301 0.375835 0.068165 -0.440273 -0.882242 0.628436 0.222462 -0.221651 -0.063690 0.169615 -0.288448 -0.129455 -0.622166 -0.810051 0.332471
congress,-0.523114 -1.024632 0.467326 -0.593231 -0.943794 -0.500497 0.333235 0.377479 0.209887 -0.176946 0.625137 -0.297550 -0.122846 -0.113310 -0.775007 0.004512
talked,0.859702 -0.615735 0.855813 1.191427 -0.164059 -0.129774 -0.044711 -0.043942 0.199583 0.010329 -0.510856 -0.642900 -0.424057 -0.409319 0.421609 -0.308357
alabama,-0.508269 -0.685342 -0.339736 0.565244 -0.673438 -0.497859 0.364679 -0.413646 -0.265711 -0.217561 0.116602 0.136974 0.325950 -0.076761 -0.426362 0.144185
edit,-0.367148 0.603578 -0.230064 -0.527636 -1.148800 -1.216332 0.358750 0.206458 0.284940 -0.187152 0.211126 0.394742 -0.834140 -0.530989 -0.679250 0.114373
checking,0.777975 -0.149210 0.392582 1.323660 0.165815 -0.521378 0.743854 -0.040641 -0.156180 0.161426 0.342984 -0.021526 -0.114425 -0.249171 1.722812 -0.009658
variety,-0.508033 -0.137746 0.024853 2.209881 -0.191106 -0.221588 0.144003 -0.275320 0.018328 -0.661603 0.216182 -0.012273 -0.358919 -0.881918 -0.846905 -0.393898
tw,0.268598 -0.239138 -0.706755 0.449810 -0.522796 -0.194523 -0.129525 -0.375900 -1.127106 0.129109 -0.288730 -0.431244 0.008625 -0.444891 -0.171900 -0.030864
lies,-0.407815 -0.497197 0.622652 0.252808 -0.364439 -0.355392 -0.037758 0.069318 -0.444621 0.001218 0.042534 -0.139950 -0.482622 -0.193743 -0.308039 -0.294581
hell,-0.408835 0.097550 -0.054384 0.621446 -0.519169 -0.204846 0.749945 0.068419 -0.112356 -0.213710 0.195718 -0.059179 0.010663 -0.521267 -0.199264 0.295136
gcp,-0.162731 -0.143035 -0.835583 0.507606 -0.693371 -0.081765 0.374590 -0.282467 -0.752152 -0.249446 -0.323402 0.650516 -0.101885 0.019432 -0.409913 0.213901
yo,0.678090 -0.120899 0.216499 -0.477511 -0.727429 0.548407 -0.783004 0.238883 -0.353514 -0.424355 -1.356688 0.007343 -0.054781 -1.282709 -0.254859 0.510454
presence,-0.088333 -0.525834 0.100146 1.352456 -0.398404 -0.217938 0.418275 -0.496270 -0.170767 -0.255488 0.319098 -0.400544 -0.355911 -0.597388 -0.456792 -0.162362
surrounding,1.357377 -0.447272 -0.002030 0.461768 -0.128236 -0.548322 0.618277 0.115648 -0.375439 0.267397 0.091347 -0.068186 0.023825 -0.070965 1.387145 0.096308
gdp,-0.402299 -0.504667 -0.017205 -0.705327 -0.731340 -0.730921 0.582141 0.218425 -0.006581 -0.528992 0.442878 -0.206508 -0.187301 -0.564257 -0.607628 -0.361512
located,0.976870 -0.170276 0.633783 1.518130 0.047374 -0.577882 0.430763 -0.041760 0.071360 0.217760 -0.238628 -0.413047 -0.632814 -0.144309 0.417397 0.207603
dress,0.148593 0.043211 -0.093643 0.452671 -0.384588 -0.391657 0.533873 -0.112894 -0.730179 0.682824 0.289359 -0.002351 -0.239361 -0.651962 0.051946 0.396607
efforts,-0.407205 -0.224917 0.130715 0.390887 -0.535706 0.514625 0.533742 0.157760 -0.163750 -0.422576 0.236394 -0.147001 -0.428837 -0.434294 -0.872995 -0.259496
achieve,0.751098 0.152504 1.037201 0.326007 0.282141 -1.078193 0.917161 0.109913 -0.547960 0.496836 0.594971 -0.042465 0.552259 -0.252095 1.946498 -0.125957
conversation,-0.231593 -0.127915 -0.176542 1.599390 -0.403928 0.032329 0.476419 -0.326297 -0.624569 -0.243082 0.602714 -0.213350 -0.241542 -0.548976 0.375458 0.141695
claims,0.280282 -0.957214 0.692419 0.493550 -0.379179 -0.039412 0.320607 -0.206726 -0.020556 0.389865 0.177989 -0.548301 -0.441726 -0.584004 -0.193075 -0.333712
tonight,-0.648695 -0.612824 0.258427 -0.381518 -0.583443 -1.108133 0.470494 0.389465 -0.020145 -0.209014 0.042672 0.041659 -0.356926 -0.500732 -0.877457 0.063646
basic,0.967783 -0.250371 -0.628075 -0.048822 -0.084007 -0.305839 0.343381 0.273256 -0.574856 0.137143 -0.263116 0.618799 0.413833 -1.060919 0.020117 0.054697
ahmed,-0.096898 0.814429 -0.511261 -0.203660 -0.813210 -0.174395 -0.178633 -0.298214 -0.457995 -0.398158 -0.458471 -0.538814 -0.159662 -0.556186 -0.672621 -0.253544
moussaoui,-0.703369 1.386054 -0.303086 1.082215 -0.707420 -0.263579 -0.194827 -0.174224 0.091977 -0.211064 -0.589853 -0.913884 -0.399758 -0.650796 -1.206040 -0.325047
followed,0.971880 -0.066341 1.129123 0.802736 -0.019566 -1.196590 0.543673 0.003326 -0.358527 -0.091517 0.320683 -0.538336 0.103493 0.135683 1.657595 -0.045695
wall,-0.156235 -0.601717 0.081119 -0.023147 -0.667187 -0.452977 0.262509 0.260201 -0.422072 -0.004713 0.247602 -0.063786 -0.440119 -0.374714 -0.597478 0.205008
declaration,-0.251742 -0.691809 -0.034025 1.001088 -0.404677 -0.284948 0.401335 0.060592 -0.243125 -0.397777 0.095721 -0.403940 -0.358205 -0.722547 -0.707873 0.135089
realize,0.965490 -0.903372 1.265796 0.366594 -0.450386 0.540476 0.595382 0.374664 0.043034 0.858527 -0.405765 -0.604063 -0.302101 -0.079231 1.254431 0.109177
pets,-0.570482 -0.587025 0.074707 0.490857 -0.582792 -0.091863 0.561226 0.377586 -0.142426 -0.094958 0.136009 -0.137734 -0.127810 -0.414543 -0.540802 0.001411
wondering,0.960343 -0.012303 0.693833 0.606582 -0.238894 -0.542789 0.465399 0.457485 0.127597 0.478823 -0.004244 -0.517482 -0.784086 0.147491 0.958900 0.093020
prime,-0.306181 -0.303214 -0.676833 0.167720 -0.097890 -0.472071 0.194624 -0.128799 -1.140189 -0.215047 -0.549828 1.114302 0.099237 0.051817 -0.843738 -0.287204
reply,0.369767 -0.319732 0.292987 -0.170798 -0.405582 -0.034634 0.362798 0.644329 0.199268 -0.097443 0.277499 -0.346641 -0.579723 -0.767407 -0.578423 -0.053230
positive,0.907576 -0.372634 -0.285201 -0.178371 -0.115019 -0.225570 0.318261 0.564349 0.061366 0.694624 -0.297134 0.265961 0.016612 -1.098375 -0.096600 -0.186147
spokesman,-0.193090 -0.126049 -0.326774 0.563527 -0.499057 0.057148 0.496861 -0.494623 -0.468624 -0.453959 -0.266019 0.286263 -0.277758 -0.426437 -0.525211 -0.082203
programs,0.045716 -0.584757 0.190662 0.462687 -0.550150 0.376601 0.195175 0.275530 0.217285 -0.135646 0.237173 -0.302612 -0.587272 -0.901139 -0.663785 -0.228119
shower,-0.384863 -0.158781 -0.136751 0.557803 -0.537409 0.902888 0.472440 0.205725 -0.260193 0.017530 0.095328 0.029389 -0.621181 -0.365616 -0.458820 -0.369124
democracy,-0.070266 -0.617328 -0.016065 0.040319 -0.322585 0.128490 0.639538 0.620686 0.400356 -0.355558 0.116756 -0.502391 -0.437751 -0.443861 -0.739131 0.020701
elected,1.225030 -0.410551 0.261026 0.210656 0.095988 -1.022119 0.049781 0.607488 0.088598 0.097462 -0.363068 -0.256193 -0.347538 -0.507249 0.028595 0.002460
guns,-0.316760 -0.445543 0.043168 0.130865 -0.482707 -0.358663 0.468267 0.209473 -0.495302 -0.278734 0.039132 0.086613 -0.170523 -0.447294 -0.601917 0.201297
games,-0.510354 -0.473490 -0.008966 0.397998 -0.699807 -0.057919 0.337838 0.260648 -0.012831 -0.533597 0.017613 -0.166073 -0.476536 -0.254237 -0.880065 -0.157714
spain,-0.395980 -0.628449 0.310807 -0.269331 -0.870401 -0.098197 0.039500 0.614554 -0.352832 -0.121728 -0.022071 -0.636511 0.017618 -0.393524 -0.261112 0.119817
established,1.194606 -0.091640 0.495673 0.561610 0.114180 -0.944898 0.570927 0.179201 0.169445 0.211174 0.186907 -0.244280 -0.435749 -0.133453 0.793708 -0.378396
culture,-0.522718 -0.949683 0.605081 0.128361 -0.704714 -0.313925 0.446722 -0.055575 -0.101248 0.015101 0.183313 -0.148498 -0.134276 -0.477623 -0.603059 -0.260152
5:00,-0.208415 0.249170 -0.424611 -0.291816 -0.488333 -0.870712 0.406051 0.580699 -0.001181 -0.170279 -0.040013 0.528758 0.431097 -1.103863 -0.509923 0.223746
prefer,1.060909 0.007386 0.510765 -0.059236 -0.047451 -0.635146 0.457817 0.788877 0.184186 -0.093476 -0.322938 -0.618517 -0.154135 -0.251955 0.660306 -0.048819
steak,-0.371717 -0.801020 -0.187407 -0.295865 -0.807668 -0.693306 0.559052 0.121290 -0.275360 0.167045 0.067349 -0.090636 -0.309242 -0.471966 -0.475625 0.156239
track,0.424386 0.087451 -0.075242 0.972036 -0.150551 -0.466711 0.614620 -0.040833 -0.229070 0.516472 -0.033095 -0.325572 -0.214888 -0.219975 0.010611 -0.008496
ran,0.954047 0.094570 0.650370 1.258896 0.097765 -0.194181 0.133483 0.041752 -0.558845 0.090899 -0.571054 -0.714520 0.130563 -0.056823 1.072815 -0.031883
southern,0.587379 0.327250 -0.849809 0.231399 -0.382348 -0.350773 0.448705 0.163167 -0.412874 0.272493 -0.334100 0.643042 0.520383 -0.938760 -0.049775 0.133592
nine,0.038609 0.136744 -0.436305 0.159492 -0.315988 -0.430390 0.617504 0.367737 -0.269301 -0.003910 -0.168060 0.702327 0.518866 -1.044434 -0.055008 0.161056
production,0.206269 -0.738171 -0.336457 0.582406 -0.507613 -0.177678 0.240645 -0.348988 -0.605244 -0.133177 -0.074193 -0.057951 -0.016313 -0.612082 -0.230694 -0.020815
laser,-0.188685 1.471209 -1.006799 0.147235 -0.687663 -0.012455 0.592445 -0.245953 -0.549766 -0.209120 0.045679 0.769917 -0.028086 -0.493377 -0.600205 -0.370471
decline,0.359841 -0.562515 0.605044 1.022516 -0.130001 -0.257402 0.462568 -0.192890 -0.274102 0.014312 0.113096 -0.532324 -0.371538 -0.365411 0.455753 -0.008793
crew,0.270591 -0.478186 -0.345387 0.825235 -0.361118 0.352509 0.334987 -0.121359 -0.110047 -0.354935 0.204551 -0.269363 -0.488714 -0.550879 -0.415946 0.022506
impressed,0.452847 -0.196335 -0.048920 1.540775 0.320635 -0.534136 0.590320 0.571202 0.300654 0.369158 -0.359764 -0.026092 -0.495350 -0.722721 0.904174 0.260097
row,-0.252159 -0.899306 0.050156 0.288444 -0.514615 -0.926417 0.462566 0.393419 -0.144518 -0.116322 0.100312 -0.397504 -0.233978 -0.486413 -0.859561 0.487648
foods,-0.419480 -0.843983 0.311936 0.105229 -0.411862 -0.804838 0.473125 0.188192 -0.274512 0.145995 0.258725 -0.408561 -0.473353 -0.301223 -0.407801 0.270853
cake,-0.095332 -0.811807 -0.030111 0.749795 -0.222992 -0.530759 0.517691 -0.099813 -0.111720 -0.223050 0.160493 -0.488551 -0.468333 -0.537881 -0.447899 0.039223
officer,-0.217548 -0.593963 0.188153 0.389836 -0.583845 -0.114582 0.330802 -0.124852 -0.063437 -0.158601 0.042197 -0.330511 -0.445530 -0.678059 -0.945950 -0.186095
mouse,0.180900 -0.934613 -0.206952 0.070896 -0.549690 0.246401 0.466396 0.069834 -0.232302 -0.309615 -0.071403 -0.187336 -0.160591 -0.613154 -0.622686 -0.086746
mother,-0.292538 0.119619 -0.162481 0.500719 -0.406738 0.740644 0.384648 0.277351 -0.156796 -0.694613 0.111353 -0.123729 -0.624198 -0.610357 -1.187743 -0.320476
downtown,0.234158 -0.374326 -0.315510 0.269119 -0.533397 -0.227195 0.306629 0.286277 -0.195876 -0.117451 -0.083085 0.004483 0.085829 -0.624329 -0.554493 0.028494
damage,-0.344364 -0.732611 0.301061 0.368074 -0.611712 0.003662 0.355967 -0.066791 -0.120586 0.081896 0.150624 0.013244 -0.349692 -0.687438 -0.201095 -0.320640
freedom,-0.000290 -0.975875 0.180229 0.483403 -0.231887 -0.140493 0.408610 0.026964 0.048292 -0.229164 0.114927 -0.440316 -0.458376 -0.701664 -0.553748 -0.083440
king,0.274989 -0.064015 -0.804761 0.166436 -0.590046 0.015160 0.316645 -0.377832 -0.854395 -0.028224 -0.232270 0.203106 -0.001772 -0.397209 -0.480204 0.050273
sao,0.309088 -0.307286 -0.397913 0.029478 -0.610547 -1.134427 0.246362 -0.143557 -0.517577 -0.323069 0.076973 0.002877 -0.089516 -0.241824 -1.169458 0.189490
favor,0.196033 -0.652540 0.233182 0.229913 -0.335489 -0.687891 0.592677 0.210305 -0.135716 0.114835 0.425798 -0.425239 -0.474045 -0.635419 0.035723 0.088810
somewhat,0.802009 0.323091 -0.329838 -0.126483 0.966978 -0.700227 0.807430 0.216664 0.486983 0.445101 -0.052495 0.105589 0.419608 -0.824011 0.226690 -0.185045
river,-0.244876 -0.575368 -0.177136 0.263443 -0.707001 -0.514546 0.336621 -0.032576 -0.225915 -0.102383 0.273328 -0.257207 -0.172026 -0.362665 -0.835604 0.167571
sources,-0.230592 -0.495780 0.056651 0.302244 -0.507672 0.037263 0.673932 0.192877 0.107825 -0.116548 0.088238 -0.520234 -0.314335 -0.473461 -0.825347 -0.036987
humans,-0.159542 0.221955 -0.286006 0.528275 -0.459687 -0.086486 0.719467 0.145338 -0.173416 -0.094182 0.283127 -0.265732 -0.139639 -0.380017 -0.236162 0.037079
sick,-0.518372 0.028113 -0.156602 0.519235 -0.012551 0.049160 0.436317 0.231985 -0.860799 -0.009783 -0.299966 0.878981 -0.067623 -0.242220 -0.040609 -0.186702
falls,-0.269800 0.206775 -0.303937 0.733223 -0.535575 -0.276846 0.240859 0.168222 -0.241009 -0.353234 -0.110125 -0.492322 -0.281372 -0.568816 -0.256666 0.188983
decent,0.790383 0.362318 -0.517124 -0.277596 0.025843 -0.702474 0.289347 0.687829 -0.315222 0.246600 -0.067984 0.303575 0.266056 -1.251321 -0.269289 0.079929
conditions,-0.110118 -0.524204 0.229707 0.921646 -0.205748 -0.726824 0.467356 0.067357 -0.057352 -0.157616 0.242373 -0.510267 -0.311332 -0.573914 -0.641379 0.183172
surprised,0.481932 -0.809126 1.223998 0.935226 0.437772 -0.186155 0.220433 0.258951 -0.002032 0.583456 -0.450119 -0.316391 -0.194754 -1.156824 1.131398 0.179918
launch,0.502364 -0.323014 0.366091 1.000987 -0.107266 -0.468521 0.480685 -0.195461 -0.600962 0.138453 0.345691 -0.209444 -0.020584 -0.178285 1.180319 0.026222
degree,-0.164769 -0.755537 0.318235 0.368578 -0.748986 -0.137086 0.390225 0.181930 -0.104364 0.243286 0.470279 -0.432322 -0.537193 -0.713599 -0.459875 0.028295
throughout,-0.040929 0.119670 0.910093 -0.251376 -0.220015 -0.983437 -0.203464 -0.549099 -0.885614 -0.131862 2.090338 0.359258 -0.146002 1.343939 1.959420 -0.076034
successful,0.540091 -0.476590 -0.061758 0.538354 0.214583 -0.101699 0.610921 0.082399 -0.366494 0.345824 -0.239993 0.362348 0.222094 -1.114095 0.431440 -0.151896
lovely,-0.406080 -0.381944 0.058475 -0.131473 -0.314859 0.194764 0.210013 0.416742 -0.895462 -0.091413 -0.368863 1.418173 -0.424209 0.046591 -0.311647 -0.125589
cindy,-0.037392 1.203247 -0.331856 -0.534836 -1.065446 -0.543595 0.105993 -0.161824 0.049243 -0.639592 -0.259048 -0.166113 -0.570062 -0.691478 -0.681219 0.150021
james,0.140314 0.989829 -0.391033 -0.036722 -0.749546 -0.281543 -0.089425 -0.277333 -0.355676 -0.429572 -0.112668 -0.323507 -0.361913 -0.576687 -0.303166 -0.146488
filter,-0.527261 -0.525811 -0.252801 0.608387 -0.442463 -0.517379 0.463111 0.177331 -0.342349 0.102579 0.143885 -0.025691 -0.452752 -0.465250 -0.527165 0.067830
growing,0.795754 0.038292 0.170714 -0.218427 -0.007197 -0.704133 0.488011 0.073935 -0.216828 0.260620 0.353217 0.061181 -0.076388 -0.635145 0.461504 -0.205931
officers,0.070432 -0.309845 -0.241317 0.342578 -0.434574 0.601267 0.650280 -0.054341 -0.107032 -0.267956 -0.207457 -0.402967 -0.405133 -0.457101 -0.714048 -0.003364
prepare,0.823364 -0.226965 0.683189 1.423674 0.086000 -0.246792 -0.147421 0.381908 -0.467033 -0.166526 -0.479204 -0.968618 0.242232 0.112775 1.453534 -0.193570
halal,-0.805128 -0.892517 0.358608 -0.442056 0.064485 -0.188421 0.467223 0.426331 -0.807306 0.249757 -0.590364 1.218511 -0.121887 -0.016850 -0.485835 -0.464468
sake,0.031036 -0.925914 0.223289 1.532205 -0.051346 -0.484338 0.210425 -0.146967 -0.090317 -0.431975 0.327630 -0.412059 -0.167415 -0.798525 -0.664375 -0.038578
roll,-0.058659 0.249633 -0.389836 0.625513 -0.198800 -0.519183 0.789473 0.106445 0.130564 0.198898 -0.135180 -0.374898 -0.450230 -0.390956 -0.197085 0.118373
n’t,-0.160099 1.472279 -0.186016 -0.681652 0.279652 1.659383 0.299573 0.433407 -0.912375 -0.545562 -0.250415 -0.080186 -1.517632 1.192129 -0.699403 -0.554111
